2024.11.29 17:34:18, 
2024.11.29 17:34:18, MHSDKManager::GetInstance() g_MHSDKInitCount:1.
2024.11.29 17:34:18, MotionHouseSDK.ini load fail.. ini file path :D:\Interactive\Safe_Gintotal\MotionHouseSDK.ini
2024.11.29 17:34:18, SystemOptions SYS_CFG_WIND_MIN_SPEED, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_VERIFICATION_TOOL_PORT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_F360_VERIFICATION_TOOL_PORT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_EXTERNAL_MOTION_PORT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_BELT_TENSIONER_RANGE, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_MAIN_TRACE_DELAY, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_DRIVER_STATUS, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MIN_PWM_1, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MIN_PWM_2, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MIN_PWM_3, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MIN_PWM_4, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MIN_PWM_5, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MIN_PWM_6, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MAX_PWM_1, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MAX_PWM_2, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RUMBLE_MOTOR_MAX_PWM_3, 0
2024.11.29 17:34:19, SystemOptions SYS_CFG_RUMBLE_MOTOR_MAX_PWM_4, 0
2024.11.29 17:34:19, SystemOptions SYS_CFG_RUMBLE_MOTOR_MAX_PWM_5, 0
2024.11.29 17:34:19, SystemOptions SYS_CFG_RUMBLE_MOTOR_MAX_PWM_6, 0
2024.11.29 17:34:19, SystemOptions SYS_CFG_DATA_FORWARD_IP, SYS_CFG_DATA_FORWARD_IP
2024.11.29 17:34:19, SystemOptions SYS_CFG_VERIFICATION_TOOL_IP, SYS_CFG_VERIFICATION_TOOL_IP
2024.11.29 17:34:19, SystemOptions SYS_CFG_F360_VERIFICATION_TOOL_IP, SYS_CFG_F360_VERIFICATION_TOOL_IP
2024.11.29 17:34:19, CommonOptions SYS_CFG_USE_BELT, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_BELT_CMD_INPORT, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_BELT_CMD_OUTPORT, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_USE_HIWIN_UART_MOTION, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_DATA_FORWARD_PORT, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_USE_ALWAYS_MAX_SPEED, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_CAC_STEWART_STRENGTH, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_CAC_STEWART_INERTIA, 0
2024.11.29 17:34:19, CommonOptions SYS_CFG_CAC_4DOF_GEARS_KI_STRENGTH, 0
2024.11.29 17:34:19, SDKOptions SDK_CFG_IGNORE_MOTION_PROFILE_FROM_SDK, 0
2024.11.29 17:34:19, SDKOptions SDK_CFG_INT_MAX, 0
2024.11.29 17:34:19, SDKOptions , 0
2024.11.29 17:34:19, UserOptions USER_CFG_FM7_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FM7_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FM7_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FM8_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FM8_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FM8_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FH4_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FH4_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FH4_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FH5_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FH5_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_FH5_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2018_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2018_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2018_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2018_FORMAT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2019_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2019_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2019_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2019_FORMAT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2020_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2020_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2020_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2020_FORMAT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2021_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2021_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2021_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2021_FORMAT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2022_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2022_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2022_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2022_FORMAT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2023_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2023_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2023_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2023_FORMAT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_GRID_LEGENDS_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_GRID_LEGENDS_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_GRID_LEGENDS_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_GENERATION_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_GENERATION_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_GENERATION_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_23_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_23_USE_FORWARDING, 0
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_23_FORWARDING_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_CAR_MAKER_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_KARTKRAFT_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_HYPERSTORM_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_USER_UDP_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_GRID_2019_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_DIRT_RALLY_2_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_DIRT_4_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_BEAM_NG_RECV_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_PROJECT_CARS2_SHARED_MEMORY, 0
2024.11.29 17:34:19, UserOptions USER_CFG_PROJECT_CARS3_SHARED_MEMORY, 0
2024.11.29 17:34:19, UserOptions USER_CFG_AUTOMOBILISTA2_SHARED_MEMORY, 0
2024.11.29 17:34:19, UserOptions USER_CFG_PREPAR3D_VERSION, 0
2024.11.29 17:34:19, UserOptions USER_CFG_AIR_SIM_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_SPACE_MONKEY_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_GT_INTERFACE_PORT, 0
2024.11.29 17:34:19, UserOptions USER_CFG_INT_MAX, 0
2024.11.29 17:34:19, UserOptions USER_CFG_USER_UDP_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_FM7_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_FM8_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_FH4_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_FH5_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2018_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2019_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2020_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2021_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2022_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_F1_2023_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_GRID_LEGENDS_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_GENERATION_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_WRC_23_FORWARDING_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_GT_INTERFACE_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_GT_DATA_PORT, 
2024.11.29 17:34:19, UserOptions USER_CFG_ASSETTO_CORSA_CONSOLE_IP, 
2024.11.29 17:34:19, UserOptions USER_CFG_MUD_RUNNER_INSTALL_PATH, 
2024.11.29 17:34:19, MotionHouseSDK version :2024031801
2024.11.29 17:34:19, BeltChecker don't be used.
2024.11.29 17:34:19, topAddress SYSTEM\ControlSet001\Enum\FTDIBUS 0
2024.11.29 17:34:19, Finding Uart Connection failed
2024.11.29 17:34:19, Device Connected 0
2024.11.29 17:34:19, DeviceManager initialization process fail, any device is not found
